,Clasificador,Approach,Accuracy,Matthews,F1
0,Multiclase,Decision Tree,0.6,0.39460764391682,"[0.4999999999999999, 0.7428571428571428, 0.5161290322580646]"
1,Multiclase,GaussianNB,0.28888888888888886,0.0,"[0.4482758620689655, 0.0, 0.0]"
2,Multiclase,MLPClassifier,0.4,0.13676666720104796,"[0.0, 0.5573770491803279, 0.125]"
3,Multiclase,RandomForestClassifier,0.7333333333333333,0.6072073207075062,"[0.6666666666666667, 0.8823529411764706, 0.6153846153846153]"
