,Classifier,Accuracy,Matthews,F1,Recall
0,Decision Tree_configuracion,0.7333333333333333,0.5516772843673705,0.7894736842105263,0.7333333333333333
1,Decision Tree_visualizacion,0.7333333333333333,0.5640760748177662,0.7777777777777778,0.7333333333333333
2,Decision Tree_procesado,0.8,0.6289592760180995,0.8000000000000002,0.8
3,MLPClassifier_configuracion,0.5666666666666667,0.19611613513818404,0.31578947368421056,0.5666666666666667
4,MLPClassifier_visualizacion,0.7,0.51604684654214,0.7567567567567568,0.7
5,MLPCLassifier_procesado,0.8,0.6054055145966812,0.7857142857142856,0.8
6,RandomForestClassifier_config,0.7666666666666667,0.6030226891555273,0.8108108108108109,0.7666666666666667
7,RandomForestClassifier_visualizacion,0.4666666666666667,0.0,0.6363636363636364,0.4666666666666667
8,RandomForest_procesado,0.8333333333333334,0.6651836553993731,0.8148148148148148,0.8333333333333334
