,Approach,Accuracy,Matthews,Configuracion,Procesado,Visualizacion
0,Decision Tree,0.7111111111111111,0.5854106249438468,0.6363636363636364,0.7333333333333334,0.7368421052631579
1,GaussianNB,0.37777777777777777,0.02091349940425303,0.0,0.5454545454545454,0.2
2,MLPClassifier,0.2222222222222222,-0.2527788923256155,0.36363636363636365,0.0,0.0
3,RandomForestClassifier,0.6666666666666666,0.5033469769982248,0.5517241379310345,0.7500000000000001,0.689655172413793
