,Clasificador,Accuracy,Matthews,F1
0,DecisionTreeCLassifier,0.5263157894736842,0.3491699447446789,"[0.5405405405405406, 0.6363636363636364, 0.3529411764705882]"
1,MLPCLassifier,0.631578947368421,0.4688980419147936,"[0.4, 0.7272727272727274, 0.7058823529411765]"
2,RandomForest,0.5,0.30190586856820223,"[0.48648648648648657, 0.761904761904762, 0.2222222222222222]"
